group,similarity,business_count
"('V7B4KTBitlBs9YH_B00-9Q', 'MdGnY6eLxy82nEZhCc6rnQ', 'BA9SDRZGyRcUMxTdUTVhmw', 'DK57YibC5ShBmqQl97CKog')",0.12106899977675589,1
"('04J_q_VhSBItxNiEAN-gkA', 'RBZ_kMjowV0t6_nv2UKaDQ', 'yrGIgk5eaWy-eewLNv4KHQ', 'EV6-TcSMzKURTpkMKCuQww')",0.15237388536311916,1
"('dIIKEfOgo0KqUfGQvGikPg', 'tg4YtJdtO0RDskJEjcBvNA', 'xovKY9oB8s-NjKz_I1RpHQ')",0.13557472729147949,3
"('_txhy3UvyGffFh8FLO2_qw', 'dIIKEfOgo0KqUfGQvGikPg', 'UmXzwFM2OkZHWJ5cJZlqkg', 'HtCPdVujYJAZF4FKr-C9Lg', 'VQhvTClcf_Wcxm0Ei4GpqA')",0.15286669545702383,1
"('RBZ_kMjowV0t6_nv2UKaDQ', 'rA97zeqOrUYuEM69n0Xn4w', '-fQPzH-e-ubDIiLQhybEjQ')",0.11764199818056714,1
"('Tr7YMpWd1XZdXdm35CatqA', 'BA9SDRZGyRcUMxTdUTVhmw', 'DK57YibC5ShBmqQl97CKog', 'rMsB82tk9uOB6JumPMgczg')",0.16999328421569102,1
"('HP8HNY4s_sLUcJEJcmzqxQ', 'RBZ_kMjowV0t6_nv2UKaDQ', 'PeLGa5vUR8_mcsn-fn42Jg')",0.18515586858518226,2
"('sjWvk3DZapZ-9ULAFtDmYw', 'o4G5jWyVFGbgtz0kvnxqJQ', 'sTcYq6goD1Fa2WS9MSkSvQ', 'HtCPdVujYJAZF4FKr-C9Lg')",0.16349168786243143,1
"('AKXqbuifvfvNEpr3Qs51hQ', 'dIIKEfOgo0KqUfGQvGikPg', 'yoT5mQ0EeB40AAMi4ZIyTw')",0.1560061832175255,4
"('eavBO3KRzBf8sM6KGa_-NQ', 'Yej5B4nd8PqpHMQcmCTDrg', 'sYQyXDjGaJj7wfaqz5u8KQ')",0.14210546892889045,1
"('8SgjU2fID9VqKQooFt1DIQ', 'pwQ8E-hbDUJe3qtKt_IBBg', 'cMEtAiW60I5wE_vLfTxoJQ', 'A0j21z2Q1HGic7jW6e9h7A')",0.19405054311826175,1
"('dIIKEfOgo0KqUfGQvGikPg', 'KGsXnYHvYddGaL_jyl0DMQ', 'PeLGa5vUR8_mcsn-fn42Jg', 'je5k8a3qIOM0VJE5MaxsfQ')",0.14634051693621727,1
"('vnWKs2dgqDuR_yNI5qJG5g', 'pwQ8E-hbDUJe3qtKt_IBBg', 'dIIKEfOgo0KqUfGQvGikPg')",0.256006119236662,12
"('dIIKEfOgo0KqUfGQvGikPg', 'UmXzwFM2OkZHWJ5cJZlqkg', 'HtCPdVujYJAZF4FKr-C9Lg', 'M9rRM6Eo5YbKLKMG5QiIPA', 'LM6pxbcfdyUS8M2jWoQk1g')",0.17040080344990494,1
"('AKXqbuifvfvNEpr3Qs51hQ', 'dIIKEfOgo0KqUfGQvGikPg', 'sFRnh5U0bfTe8Ox8PygjHg', 'M9rRM6Eo5YbKLKMG5QiIPA', 'pQdIIsbV5dGOVz_kWfMRTw')",0.21838902929869355,1
"('5aPp3PnDs50CfWMapd7yEg', '7pi5q0cT60nBNwlHV0wLKQ', '1BjI1-O1gxSt8TRO0yD8Gg')",0.11893169532709802,2
"('SaNDaz5rBQs-5gyhOkO1MA', 'M9rRM6Eo5YbKLKMG5QiIPA', 'UmXzwFM2OkZHWJ5cJZlqkg')",0.12630143349204634,2
"('_txhy3UvyGffFh8FLO2_qw', 'dIIKEfOgo0KqUfGQvGikPg', 'HtCPdVujYJAZF4FKr-C9Lg', 'Yej5B4nd8PqpHMQcmCTDrg', 'sYQyXDjGaJj7wfaqz5u8KQ')",0.17452795484172673,1
"('HtCPdVujYJAZF4FKr-C9Lg', 'Yej5B4nd8PqpHMQcmCTDrg', 'ExI15M-oXjHcF42-G1xv9w')",0.24933953295267186,3
"('PeLGa5vUR8_mcsn-fn42Jg', 'KGsXnYHvYddGaL_jyl0DMQ', 'avmRUkWovTsaDqKiNKdivQ', 'M9rRM6Eo5YbKLKMG5QiIPA')",0.1612563993995311,1
"('kc-rnN-ndnFTdHG4TfIgeQ', 'Yej5B4nd8PqpHMQcmCTDrg', 'K0sapHOlhlGNjx3GBeSf5A', 'sTcYq6goD1Fa2WS9MSkSvQ')",0.2089014045603613,1
"('AKXqbuifvfvNEpr3Qs51hQ', 'dIIKEfOgo0KqUfGQvGikPg', 'tJ1qdNdG0tZywbgH9uw9qw')",0.18959469770049742,3
"('UmXzwFM2OkZHWJ5cJZlqkg', 'M9rRM6Eo5YbKLKMG5QiIPA', 'gH3JDpHQfVcMEGaAaCJPjA')",0.14930866817990449,2
"('dIIKEfOgo0KqUfGQvGikPg', 'HtCPdVujYJAZF4FKr-C9Lg', 'xovKY9oB8s-NjKz_I1RpHQ', 'mIysRk_cJ5K_BMZ-r06TFw')",0.14352516677651683,1
