group,similarity,business_count
"('Xj9-p-_zm37ALyR1Qq34fQ', 'HtCPdVujYJAZF4FKr-C9Lg', 'je5k8a3qIOM0VJE5MaxsfQ', 'Yej5B4nd8PqpHMQcmCTDrg', 'PeLGa5vUR8_mcsn-fn42Jg')",0.12042073419986118,1
"('UmXzwFM2OkZHWJ5cJZlqkg', 'HtCPdVujYJAZF4FKr-C9Lg', 'pQdIIsbV5dGOVz_kWfMRTw', 'M9rRM6Eo5YbKLKMG5QiIPA', 'Yej5B4nd8PqpHMQcmCTDrg')",0.183260130605073,1
"('AKXqbuifvfvNEpr3Qs51hQ', 'UmXzwFM2OkZHWJ5cJZlqkg', 'Yej5B4nd8PqpHMQcmCTDrg', 'je5k8a3qIOM0VJE5MaxsfQ', 'iL_CR-WQnveqrff9LecqAQ')",0.19479424945214324,1
"('_txhy3UvyGffFh8FLO2_qw', 'dIIKEfOgo0KqUfGQvGikPg', 'Yej5B4nd8PqpHMQcmCTDrg', 'mIysRk_cJ5K_BMZ-r06TFw', 'LM6pxbcfdyUS8M2jWoQk1g')",0.1831881584950459,1
"('dIIKEfOgo0KqUfGQvGikPg', 'PeLGa5vUR8_mcsn-fn42Jg', 'xovKY9oB8s-NjKz_I1RpHQ', 'sYQyXDjGaJj7wfaqz5u8KQ', 'p_azadim_uWFOXAhhKB3ag')",0.1877612978822985,1
"('dIIKEfOgo0KqUfGQvGikPg', 'UmXzwFM2OkZHWJ5cJZlqkg', 'PeLGa5vUR8_mcsn-fn42Jg', 'Yej5B4nd8PqpHMQcmCTDrg', 'sTcYq6goD1Fa2WS9MSkSvQ')",0.20036855515433336,1
"('HP8HNY4s_sLUcJEJcmzqxQ', 'dIIKEfOgo0KqUfGQvGikPg', 'UmXzwFM2OkZHWJ5cJZlqkg', 'PeLGa5vUR8_mcsn-fn42Jg', 'M9rRM6Eo5YbKLKMG5QiIPA')",0.17424367521769674,1
"('C4-DtyZClKlyIi9_9xc5AA', '7pi5q0cT60nBNwlHV0wLKQ', 'tJ1qdNdG0tZywbgH9uw9qw', 'sTcYq6goD1Fa2WS9MSkSvQ', 'gH3JDpHQfVcMEGaAaCJPjA')",0.15662742278751285,1
"('dIIKEfOgo0KqUfGQvGikPg', 'NjLRgbRZiwEIMpAgXypJtw', 'GiQ2F7ociTqGTrcL6kLpAw', 'M9rRM6Eo5YbKLKMG5QiIPA', 'sFRnh5U0bfTe8Ox8PygjHg')",0.17970584014847013,1
"('sTcYq6goD1Fa2WS9MSkSvQ', 'iL_CR-WQnveqrff9LecqAQ', 'HtCPdVujYJAZF4FKr-C9Lg', 'U_Ne8BOcLn1iWBgInHVzEQ', 'PeLGa5vUR8_mcsn-fn42Jg')",0.13533257512594518,1
"('KxGeqg5ccByhaZfQRI4Nnw', 'S0YQ47x5g8SfZe87KGvsJw', '6rGVoAI0Bl8ZEbMNJWOK3w', 'RBZ_kMjowV0t6_nv2UKaDQ', 'dIIKEfOgo0KqUfGQvGikPg')",0.22792972495451247,2
"('RBZ_kMjowV0t6_nv2UKaDQ', 'M9rRM6Eo5YbKLKMG5QiIPA', 'w1TjcJ6itK7LC_IY61NQIQ', 'SCo1UBoeN3bhRMkSYuiX1A', 'kjeX2RXvW7RhBbD2QLd5jA')",0.20996833728975192,2
